case_id,landmark_round_type,joint_outcome_pattern,audit_stratum,design_weight,audit_inclusion_probability
3449,angel,000,angel|000,2.6263736263736264,0.3807531380753138
3451,angel,000,angel|000,2.6263736263736264,0.3807531380753138
3455,angel,000,angel|000,2.6263736263736264,0.3807531380753138
3456,angel,110,angel|110,2.6,0.3846153846153846
3457,angel,110,angel|110,2.6,0.3846153846153846
3461,angel,000,angel|000,2.6263736263736264,0.3807531380753138
3462,angel,000,angel|000,2.6263736263736264,0.3807531380753138
3466,angel,010,angel|010,2.5789473684210527,0.3877551020408163
3470,angel,110,angel|110,2.6,0.3846153846153846
3472,angel,110,angel|110,2.6,0.3846153846153846
3479,series-a,111,series-a|111,2.6,0.3846153846153846
3480,angel,000,angel|000,2.6263736263736264,0.3807531380753138
3481,angel,000,angel|000,2.6263736263736264,0.3807531380753138
3482,series-a,011,series-a|011,2.6,0.3846153846153846
3483,series-a,000,series-a|000,2.652173913043478,0.3770491803278689
3484,angel,110,angel|110,2.6,0.3846153846153846
3485,angel,000,angel|000,2.6263736263736264,0.3807531380753138
3486,angel,000,angel|000,2.6263736263736264,0.3807531380753138
3488,angel,000,angel|000,2.6263736263736264,0.3807531380753138
3490,angel,000,angel|000,2.6263736263736264,0.3807531380753138
3493,angel,111,angel|111,2.7142857142857144,0.3684210526315789
3499,angel,000,angel|000,2.6263736263736264,0.3807531380753138
3500,angel,000,angel|000,2.6263736263736264,0.3807531380753138
3501,angel,000,angel|000,2.6263736263736264,0.3807531380753138
3502,angel,000,angel|000,2.6263736263736264,0.3807531380753138
3508,angel,010,angel|010,2.5789473684210527,0.3877551020408163
3516,series-a,000,series-a|000,2.652173913043478,0.3770491803278689
3520,angel,110,angel|110,2.6,0.3846153846153846
3521,angel,000,angel|000,2.6263736263736264,0.3807531380753138
3524,series-a,000,series-a|000,2.652173913043478,0.3770491803278689
3530,series-a,000,series-a|000,2.652173913043478,0.3770491803278689
3534,angel,000,angel|000,2.6263736263736264,0.3807531380753138
3535,series-a,000,series-a|000,2.652173913043478,0.3770491803278689
3536,series-a,000,series-a|000,2.652173913043478,0.3770491803278689
3537,angel,000,angel|000,2.6263736263736264,0.3807531380753138
3538,angel,000,angel|000,2.6263736263736264,0.3807531380753138
3545,angel,000,angel|000,2.6263736263736264,0.3807531380753138
3547,angel,110,angel|110,2.6,0.3846153846153846
3549,angel,111,angel|111,2.7142857142857144,0.3684210526315789
3553,angel,000,angel|000,2.6263736263736264,0.3807531380753138
3557,series-a,000,series-a|000,2.652173913043478,0.3770491803278689
3561,angel,000,angel|000,2.6263736263736264,0.3807531380753138
